id,timestamp,category,title,artisan,materials,price,stock,city,area,contact_phone,image_path,description,meta_title,meta_description,keywords,status,added_by,approval_status,pending_json,reviewed_by,reviewed_at,state
handmade-1784960788700,2026-07-25T06:26:28.700Z,Gifts,Rakhi,Kirna's woolen rakhi,Woolen,80,100,Jaipur,Kukas,7737353588,assets/uploads/handmade-1784960786266-IMG-20260724-WA0014.jpg,Handcrafted woollen rakhi made with soft yarn and careful detailing. A lightweight festive rakhi suitable for Raksha Bandhan gifting. Contact the seller on WhatsApp to confirm colour availability and all-India delivery.,Handmade Woollen Rakhi Online in India | Call4All,"Buy a handmade single rakhi from Call4All, crafted with premium materials for a unique festive touch. Perfect for celebrating Raksha Bandhan with love and style","near me rakhi, woolen rakhi, men rakhi, branded rakhi",Active,jeevashelpinghand@gmail.com,Approved,,admin,2026-07-25T13:24:07.818Z,Rajasthan
handmade-1784961435326,2026-07-25T06:37:15.326Z,Gifts,Rakhi,Kirna's woolen rakhi,Woolen,170,100,Jaipur,Kukas,7737353588,assets/uploads/handmade-1784961433032-IMG-20260723-WA0012.jpg,Handcrafted woollen rakhi created by a local artisan for Raksha Bandhan. The design is made with wool and decorative detailing. Confirm the selected design colour stock customisation and all-India delivery with the seller on WhatsApp.,Handmade Woollen Rakhi Online in India | Call4All,Buy a handcrafted woollen rakhi from an Indian artisan. Check live price and stock and confirm all-India delivery on WhatsApp.,handmade woollen rakhi online India Raksha Bandhan artisan rakhi,Active,jeevashelpinghand@gmail.com,Approved,,admin,2026-07-25T06:41:06.926Z,Rajasthan
handmade-1784961541092,2026-07-25T06:39:01.092Z,Gifts,Rakhi,Kirna's woolen rakhi,Woolen,200,100,Jaipur,Kukas,7737353588,assets/uploads/handmade-1784961538280-IMG-20260719-WA0008.jpg,Handcrafted woollen rakhi created by a local artisan for Raksha Bandhan. The design is made with wool and decorative detailing. Confirm the selected design colour stock customisation and all-India delivery with the seller on WhatsApp.,Handmade Woollen Rakhi Online in India | Call4All,Buy a handcrafted woollen rakhi from an Indian artisan. Check live price and stock and confirm all-India delivery on WhatsApp.,handmade woollen rakhi online India Raksha Bandhan artisan rakhi,Active,jeevashelpinghand@gmail.com,Approved,,admin,2026-07-25T06:40:57.705Z,Rajasthan
handmade-1785138769268,2026-07-27T07:52:49.268Z,Gifts,Rakhi,Kirna's woolen rakhi,Woolen,70,100,Jaipur,Kukas,7737353588,assets/uploads/handmade-1785138763824-Gemini_Generated_Image_kgu11ckgu11ckgu1.png,ABCD,,,,Active,admin,Approved,,admin,2026-07-27T07:52:49.286Z,Rajsthan
handmade-1785138966472,2026-07-27T07:56:06.472Z,Gifts,Rakhi,Kirna's woolen rakhi,Woolen,60,100,Jaipur,Kukas,7737353588,assets/uploads/handmade-1785138961616-Gemini_Generated_Image_5i7jk85i7jk85i7j.png,ABCD,,,,Active,admin,Approved,,admin,2026-07-27T07:56:06.472Z,Rajsthan
handmade-1785139245185,2026-07-27T08:00:45.185Z,Gifts,Rakhi,Kirna's woolen rakhi,Woolen,60,100,Jaipur,Kukas,7737353588,assets/uploads/handmade-1785139238255-Gemini_Generated_Image_rvb2h3rvb2h3rvb2.png,ABCD,,,,Active,admin,Approved,,admin,2026-07-27T08:00:45.185Z,Rajsthan
handmade-1785139446935,2026-07-27T08:04:06.935Z,Gifts,Rakhi,Kirna's woolen rakhi,Woolen,60,100,Jaipur,Kukas,7737353588,assets/uploads/handmade-1785139442294-Gemini_Generated_Image_cgk55vcgk55vcgk5.png,ABCD,,,,Active,admin,Approved,,admin,2026-07-27T08:04:06.935Z,Rajsthan
handmade-1785140037171,2026-07-27T08:13:57.171Z,Gifts,Rakhi,Kirna's woolen rakhi,Woolen,170,100,Jaipur,Kukas,7737353588,assets/uploads/handmade-1785140034884-IMG_20260727_133951.jpg,ABCD,,,,Active,adime,Approved,,adime,2026-07-27T08:13:57.185Z,Rajsthan
handmade-1785140139466,2026-07-27T08:15:39.466Z,Gifts,Rakhi,Kirna's woolen rakhi,Woolen,180,100,Jaipur,Kukas,7737353588,assets/uploads/handmade-1785140134286-Gemini_Generated_Image_he1r6jhe1r6jhe1r.png,ABCD,,,,Active,adime,Approved,,adime,2026-07-27T08:15:39.466Z,Rajsthan
handmade-1785140245578,2026-07-27T08:17:25.578Z,Gifts,Rakhi,Kirna's woolen rakhi,Woolen,180,100,Jaipur,Kukas,7737353588,assets/uploads/handmade-1785140239993-Gemini_Generated_Image_6jqp1v6jqp1v6jqp.png,ABCD,,,,Active,adime,Approved,,adime,2026-07-27T08:17:25.578Z,Rajsthan
handmade-1785140364852,2026-07-27T08:19:24.852Z,Gifts,Rakhi,Kirna's woolen rakhi,Woolen,180,100,Jaipur,Kukas,7737353588,assets/uploads/handmade-1785140359277-Gemini_Generated_Image_1x5uca1x5uca1x5u.png,ABCD,,,,Active,adime,Approved,,adime,2026-07-27T08:19:24.853Z,Rajsthan
